zip_code,year_month,bait,clean_ups,compliance,initial,sighting,zip_year_month
10003,2017-11,44.0,0.0,49.0,398.0,10.0,10003 2017-11
10003,2017-12,33.0,0.0,30.0,187.0,10.0,10003 2017-12
10003,2018-01,60.0,0.0,31.0,554.0,5.0,10003 2018-01
10003,2018-02,91.0,0.0,41.0,204.0,5.0,10003 2018-02
10003,2018-03,76.0,0.0,29.0,60.0,6.0,10003 2018-03
10003,2018-04,102.0,0.0,23.0,167.0,8.0,10003 2018-04
10003,2018-05,68.0,0.0,44.0,399.0,21.0,10003 2018-05
10003,2018-06,66.0,0.0,14.0,352.0,5.0,10003 2018-06
10003,2018-07,50.0,0.0,28.0,242.0,9.0,10003 2018-07
10003,2018-08,24.0,0.0,39.0,209.0,5.0,10003 2018-08
10003,2018-09,58.0,0.0,19.0,68.0,8.0,10003 2018-09
10003,2018-10,60.0,0.0,27.0,522.0,13.0,10003 2018-10
10003,2018-11,75.0,0.0,42.0,446.0,8.0,10003 2018-11
10003,2018-12,84.0,0.0,45.0,45.0,4.0,10003 2018-12
10004,2010-01,0.0,0.0,0.0,100.0,3.0,10004 2010-01
10004,2010-02,0.0,0.0,6.0,0.0,1.0,10004 2010-02
10004,2010-03,0.0,0.0,4.0,1.0,0.0,10004 2010-03
10004,2010-04,0.0,0.0,1.0,0.0,0.0,10004 2010-04
10004,2010-05,0.0,0.0,0.0,3.0,0.0,10004 2010-05
10004,2010-06,0.0,0.0,2.0,1.0,0.0,10004 2010-06
10004,2010-08,1.0,0.0,0.0,1.0,0.0,10004 2010-08
10004,2010-09,1.0,0.0,0.0,1.0,0.0,10004 2010-09
10004,2010-10,2.0,0.0,0.0,0.0,0.0,10004 2010-10
10004,2010-11,7.0,0.0,0.0,0.0,1.0,10004 2010-11
10004,2010-12,0.0,0.0,1.0,1.0,0.0,10004 2010-12
10004,2011-01,5.0,0.0,1.0,1.0,0.0,10004 2011-01
10004,2011-02,0.0,0.0,0.0,102.0,2.0,10004 2011-02
10004,2011-03,3.0,0.0,1.0,4.0,0.0,10004 2011-03
10004,2011-04,0.0,0.0,1.0,0.0,2.0,10004 2011-04
10004,2011-05,0.0,0.0,1.0,0.0,0.0,10004 2011-05
10004,2011-06,0.0,0.0,0.0,2.0,0.0,10004 2011-06
10004,2011-10,0.0,0.0,0.0,1.0,0.0,10004 2011-10
10004,2011-11,0.0,0.0,0.0,1.0,0.0,10004 2011-11
10004,2012-01,0.0,0.0,0.0,1.0,0.0,10004 2012-01
10004,2012-02,0.0,0.0,1.0,1.0,0.0,10004 2012-02
10004,2012-03,0.0,0.0,1.0,88.0,0.0,10004 2012-03
